ID,NAME,LATITUDE,LONGITUDE,TYPE,FAC TYPE,ADDRESS,DESCR,IMG
1,A.C.T. Aquatics and Recreation Centre,53.55620905,-113.3870228,Recreation Facility,1,2909 113 Avenue,"AQUATIC: 25m pool 0-2.4m depth, whirlpool, warm water teach pool, slides and pool toys. FACILITY: Regular and Family changeroms, cafeteria (catering), meeting rooms, gymnasium, BBQ, kitchen facilities (for room bookings), multi-sensory environment, indoor playground, ceiling lifts for wheelchair transfer, complimentary wallet/purse lockers in lobby. OUTDOOR: playground, tennis courts, volleyball courts, baseball diamonds, soccer fields, Rundle Park (paddleboats, trails, man-made lake, picnic sites), Rundle disc golf course, Rundle 18-hole mini golf course, Rundle Golf Course",
2,Bill Hunter Arena,53.52775711,-113.6041577,Arena,1,9200 163 Street,"Ice surface: 190x85ft/57.91x25.91m, seating for 1 600 plus 200 standing, safety netting protecting viewing area, summer ice capabilities, 6 dressing rooms with showers, concession, vending machines, Skate sharpening machine, large lobby, room available for booking.",
3,Bonnie Doon Leisure Centre,53.52387623,-113.4544844,Recreation Facility,1,8648 81 Street,"AQUATIC: 25m pool (8 lanes, starting blocks) 1-3.04m depth, whirlpool, steam room, sauna, slide, pool toys, swing rope, spectator seating. FACILITY: Regular and Family changerooms, sundeck, BBQ, complimentary wallet/purse lockers in lobby. OUTDOOR: running track, tennis courts.",
4,Borden Park Outdoor Swimming Pool,53.56356896,-113.4551423,Outdoor Pool,1,11200 74 Street,"30.5 m swimming pool, Regular change rooms, Complimentary wallet lockers for valuables, Giant aquatic inflatables, Sundeck, picnic tables, Concession, Neighbouring playground, Surrounding parkland and trails.",
5,Callingwood Recreation Centre,53.50560129,-113.628808,Recreation Facility,1,17740 69 Avenue,"VERN DAVIS RINK (formerly Arena A): Ice surface: 200 feet x 85 feet (60.96 x 25.91 metres), Seating for 220 spectators, Safety netting protecting the viewing area, Large lobby area, Summer ice capabilities, 4 dressing rooms - 6 showers per dressing room, 2 community rooms, 1 with a stage and kitchen - available for booking, Concession, Vending machines, Skate sharpening machine. ARENA B: Ice surface: 200 feet x 85 feet (60.96 x 25.91 metres), Seating for 220 spectators, Summer ice capabilities, 4 dressing rooms - 6 showers per dressing room, 2 community rooms, 1 with a stage and kitchen - available for booking, Concession, Vending machines, Skate sharpening machine.",
6,Castle Downs Recreation Centre,53.61619319,-113.5216626,Recreation Facility,1,11520 153 Avenue,"ARENA A: Ice surface: 200 feet x 85 feet (60.96 x 25.91 metres), Seating for 300 spectators, Safety netting protecting viewing area, Summer ice capabilities, 4 dressing rooms with showers, Designated warm-up area - west side area of lobby, Figure skating room, Large lobby area, Concession, Vending machines, Skate sharpening machine. ARENA B: Ice surface: 200 feet x 85 feet (60.96 x 25.91 metres), Seating for 180 spectators, Safety netting protecting viewing area, Summer ice capabilities, 4 dressing rooms with showers, Designated warm-up area - west side area of lobby, Figure skating room, Large lobby area, Concession, Vending machines, Skate sharpening machine.",
7,City Arts Centre,53.51964658,-113.5141085,Attraction,1,10943 84 Avenue,The City Arts Centre features 2 specialized studio spaces for pottery and silversmithing plus several general purpose rooms. You can rent much of this space for your special event or meeting.,
8,Clareview Recreation Centre,53.60211356,-113.4028991,Recreation Facility,1,3804 139 Avenue,"ARENA A: Olympic-sized ice surface: 210 feet x 100 feet (60.96 x 30.48 metres), Seating for 600 spectators, Safety netting protecting viewing area, Summer ice capabilities, 4 dressing rooms with showers, Figure skating room with showers, Designated warm-up area, Concession, Vending machines, Pro-shop, Rooms available for booking. ARENA B: Ice surface: 200 feet x 85 feet (60.96 x 25.91 metres), Seating for 150 spectators, Safety netting protecting viewing area, Summer ice capabilities, 4 dressing rooms with showers, Designated warm-up area, Concession, Vending machines, Pro-shop, Rooms available for booking.",
9,Commonwealth Stadium,53.55903613,-113.4777041,Recreation Facility,1,11000 Stadium Road,"AQUATIC CENTRE: 4 lane fitness pool (25m), Waterslide & aquatic climbing wall, Leisure pool with spray features, Whirlpool & Steam Room. FIELD HOUSE: Artificial turf, Football & Soccer markings, Batting cage (drop down). FITNESS CENTRE: Walking/ jogging track (250 m), Cardio, weight, and stretching areas, 2 Mind/Body Studios & a Spin Bike Studio. GYMNASIUM: Hardwood Court Configurations, Basketball, volleyball & badminton Multi-purpose rooms & studios, Varying size for recreation, education, arts and cultural programs, childrenês spaces, meeting spaces, seniorês activities and a spin studio, 1 large and 3 smaller professional meeting rooms equipped with smart boards.",
10,Confederation Arena,53.48018628,-113.5202914,Arena,1,11204 43 Avenue,"Ice surface: 190 feet x 85 feet (57.91 x 25.91 metres), Seating for 900, plus 200 standing, Safety netting protecting viewing area, Summer ice capabilities, 4 dressing rooms - 1 shower per 2 dressing rooms, Designated warm-up area, Tempered glass, Ice is painted blue to accommodate figure skating clubs, Concession, Vending machines, Skate sharpening machine, Rooms are available for booking.",
11,Confederation Leisure Centre,53.48011015,-113.5201302,Recreation Facility,1,11204 43 Avenue,"AQUATIC: 25 metre salt water swimming pool (6 lanes), Whirlpool, Steam room, Dive tank, Diving boards (1m, 3m), Slide, Swing rope. FACILITY: Regular and family change rooms, Meeting rooms, Complimentary wallet and purse lockers in lobby, Indoor ice arena. OUTDOOR: Tennis courts, Sports fields, Running track.",
12,Coronation Arena,53.56151119,-113.5583256,Arena,1,13500 112 Avenue,"Ice surface: 190 feet x 85 feet (57.91 x 25.91), Seating for 800, plus 200 standing, Safety netting protecting viewing area, Summer ice capabilities, 4 dressing rooms, 1 shower per 2 dressing rooms, Concession, Vending machines.",
13,Crestwood Arena,53.5390423,-113.5760058,Arena,1,9940 147 Street,"Ice surface: 185 feet x 81 feet (56.39 x 24.69 metres), Seating for 150, plus 100 standing, Safety netting protecting the viewing area, Joint parking with a church and day care centre, 4 change rooms - no showers, Vending machines, Skate sharpening machine.",
14,Donnan Arena,53.51589366,-113.4682543,Arena,1,9105 80 Ave,"Ice surface: 190 feet x 85 feet (57.91 x 25.91 metres), Seating for 108, plus 242 standing, Safety netting protecting viewing area, 4 dressing rooms - no showers, Vending machines, Skate sharpening machine.",
15,Eastglen Leisure Centre,53.56698671,-113.4452702,Recreation Facility,1,11410 68 Street,"AQUATIC: 25 metre gradual depth salt water swimming pool, Whirlpool, Steam room, Slide, Platform, Pool toys. FACILITY: Regular and family change rooms, Sundeck, Meeting rooms, Barbeque, Complimentary wallet and purse lockers in lobby.",
16,Fort Edmonton Park,53.50351342,-113.5736302,Attraction,1,7000 143 Street,"Fort Edmonton Park is a place where time has stopped and is waiting for you to experience life as it was through four historical periods between 1846 and 1929. Go back in time more than 150 years and walk through the days of the fur trade, and the pioneer years of 1885, 1905 and 1920. Costumed interpreters bring the past to life, answer your questions and invite you to experience the best of the period. Take a ride on a steam train, play pioneer games, bake bread the old-fashioned way, shop 'til you drop, or hit the Midway for rides games and more fun - it's all right here waiting for you.",
17,Fred Broadstock Outdoor Swimming Pool,53.54931174,-113.5934658,Outdoor Pool,1,10515 158 Street,"25 metre 6 lane pool, 1 and 3 metres Diving boards, Children's teach pool with spray park, Revitalized pool building and family change rooms, Regular change rooms, Sun deck and picnic tables, Concession area.",
18,Glengarry Arena ,53.5948001,-113.4728586,Arena,1,13340 85 Street,"Ice surface: 190 feet x 85 feet (57.91 x 25.91 metres), Seating for 150, plus 200 standing, Safety netting protecting viewing area, 4 dressing rooms with showers, Skate sharpening machine, Vending machines.",
