NAME,TYPE,ACTIVITY,START,END,SPECIAL
A.C.T. Aquatics and Recreation Centre,Swimming,Public Swim,N 1430,N 1630,
A.C.T. Aquatics and Recreation Centre,Swimming,Public Swim,N 1830,N2100,
A.C.T. Aquatics and Recreation Centre,Swimming,Public Swim,M 0900,M 1700,
A.C.T. Aquatics and Recreation Centre,Swimming,Public Swim,T 0900,T 1700,
A.C.T. Aquatics and Recreation Centre,Swimming,Public Swim,T 1900,T 2100,
A.C.T. Aquatics and Recreation Centre,Swimming,Public Swim,W 0900,W 1700,
A.C.T. Aquatics and Recreation Centre,Swimming,Public Swim,R 0900,R 1700,
A.C.T. Aquatics and Recreation Centre,Swimming,Public Swim,R 1900,R 2100,
A.C.T. Aquatics and Recreation Centre,Swimming,Public Swim,F 0900,F 1700,
A.C.T. Aquatics and Recreation Centre,Swimming,Public Swim,F 1900,F 2100,
A.C.T. Aquatics and Recreation Centre,Swimming,Public Swim,S 1400,S 1600,
A.C.T. Aquatics and Recreation Centre,Swimming,Public Swim,S 1830,S 2100,
A.C.T. Aquatics and Recreation Centre,Swimming,Family Swim,N 1100,N 1300,
A.C.T. Aquatics and Recreation Centre,Swimming,Family Swim,T 1800,T 1900,
A.C.T. Aquatics and Recreation Centre,Swimming,Family Swim,R 1800,R 1900,
A.C.T. Aquatics and Recreation Centre,Swimming,Adult Swim,M 1900,M 2100,
A.C.T. Aquatics and Recreation Centre,Swimming,Adult Swim,W 1900,W 2100,
A.C.T. Aquatics and Recreation Centre,Swimming,Community Swim,S 1400,S 1600,
A.C.T. Aquatics and Recreation Centre,Swimming,Exclusive Persons with Disabilities,N 1300,N 1430,
A.C.T. Aquatics and Recreation Centre,Swimming,Shallow Water Aquafit,M 0930,M 1030,
A.C.T. Aquatics and Recreation Centre,Swimming,Shallow Water Aquafit,M 1030,M 1130,
A.C.T. Aquatics and Recreation Centre,Swimming,Shallow Water Aquafit,M 1900,M 2000,
A.C.T. Aquatics and Recreation Centre,Swimming,Shallow Water Aquafit,W 1900,W 2000,
A.C.T. Aquatics and Recreation Centre,Swimming,Shallow Water Aquafit,R 0930,R 1030,
A.C.T. Aquatics and Recreation Centre,Swimming,Shallow Water Aquafit,R 1030,R 1130,
A.C.T. Aquatics and Recreation Centre,Swimming,Water Works,M 1200,M 1300,
A.C.T. Aquatics and Recreation Centre,Swimming,Water Works,W 1200,W 1300,
A.C.T. Aquatics and Recreation Centre,Swimming,Hot Tub,N 0900,N 1300,
A.C.T. Aquatics and Recreation Centre,Swimming,Hot Tub,N 1430,N 1630,
A.C.T. Aquatics and Recreation Centre,Swimming,Hot Tub,N 1830,N 2100,
A.C.T. Aquatics and Recreation Centre,Swimming,Hot Tub,M 0900,M 1900,
A.C.T. Aquatics and Recreation Centre,Swimming,Hot Tub,M 1900,M 2100,Adult Swim
A.C.T. Aquatics and Recreation Centre,Swimming,Hot Tub,T 0900,T 1700,
A.C.T. Aquatics and Recreation Centre,Swimming,Hot Tub,T 1800,T 1900,Family Swim
A.C.T. Aquatics and Recreation Centre,Swimming,Hot Tub,T 1900,T 2100,
A.C.T. Aquatics and Recreation Centre,Swimming,Hot Tub,W 0900,W 1900,
A.C.T. Aquatics and Recreation Centre,Swimming,Hot Tub,W 1900,W 2100,Adult Swim
A.C.T. Aquatics and Recreation Centre,Swimming,Hot Tub,R 0900,R 1700,
A.C.T. Aquatics and Recreation Centre,Swimming,Hot Tub,R 1800,R 1900,Family Swim
A.C.T. Aquatics and Recreation Centre,Swimming,Hot Tub,R 1900,R 2100,
A.C.T. Aquatics and Recreation Centre,Swimming,Hot Tub,F 0900,F 2100,
A.C.T. Aquatics and Recreation Centre,Swimming,Hot Tub,S 0900,S 1200,
A.C.T. Aquatics and Recreation Centre,Swimming,Hot Tub,S 1400,S 1600,
A.C.T. Aquatics and Recreation Centre,Swimming,Hot Tub,S 1830,S 2100,
A.C.T. Aquatics and Recreation Centre,Swimming,Swim Lessons,N 0900,N 1100,
A.C.T. Aquatics and Recreation Centre,Swimming,Swim Lessons,M 1645,N 1900,
A.C.T. Aquatics and Recreation Centre,Swimming,Swim Lessons,W 1645,W 1900,
A.C.T. Aquatics and Recreation Centre,Swimming,Swim Lessons,R 1130,R 1330,
A.C.T. Aquatics and Recreation Centre,Swimming,Swim Lessons,R 1630,R 1845,
A.C.T. Aquatics and Recreation Centre,Swimming,Swim Lessons,F 1630,F 1900,
A.C.T. Aquatics and Recreation Centre,Swimming,Swim Lessons,S 0900,S 1200,
